"reel_index","reel_shortcode","reel_url","publish_date","publish_date_raw","caption_full","hook_text","hook_type","duration_sec","duration_sec_raw","views","viewers_estimated_beta_reach","views_followers_pct","views_nonfollowers_pct","likes","comments","saves","shares","interactions_total","interactions_followers_pct","interactions_nonfollowers_pct","accounts_engaged","follows","follows_per_1000_views","saves_per_1000_views","shares_per_1000_views","comments_per_1000_views","likes_per_1000_views","interactions_per_1000_views","accounts_engaged_per_1000_views","primary_category","series","subtype_clean","subtype_raw","presentation_format_clean","presentation_format_raw","rotem_appears_clean","rotem_appears_raw","meir_appears_clean","meir_appears_raw","both_appear_clean","both_appear_raw","cta","commercial_status","source","notes"
"11","DZIHLuLoyjH","https://www.instagram.com/rotem_adini/reel/DZIHLuLoyjH/","2026-06-03","2026-06-03","ממשיכים בסדרת הדייטים שלנו לפי הא'-ב' והפעם האות ט' דייט טניס 🎾 עפנו על הדייט ברמות וזה אחלה גיוון ❤️ תרשמו לי אם אהבתם את הרעיון 😍✌🏻","לפי הא'-ב' (on-screen text) / caption: ממשיכים בסדרת הדייטים שלנו לפי הא'-ב' והפעם האות ט'","Series introduction","16.77","16.77","19592","3247","11.1%","88.9%","133","9","16","38","198","31.2%","68.8%","180","4","0.2","0.82","1.94","0.46","6.79","10.11","9.19","Couple","A-Z Dates (letter Tet / ט - Tennis date)","Date","Date","Montage","Montage (wide shot of both playing tennis)","Yes","Yes","Yes","Yes","Yes","Yes","Comment (caption: 'תרשמו לי אם אהבתם את הרעיון' - comment if you liked the idea)","Organic","reused_from_previous_dataset","Action-bar comment count (9) matched Insights (9) exactly."
"12","DZC6ahtIJQE","https://www.instagram.com/rotem_adini/reel/DZC6ahtIJQE/","2026-06-01","2026-06-01","גלידוניות קורנפלקס מושלמות עכשיו לקיץ!!! [full recipe: cornflake crust, whipped cream + condensed milk filling, white chocolate + cornflake coating]","תוכח איתי על זה (on-screen text, partial - 'argue with me about this')","Contrarian statement","19.78","19.78","256514","14703","4.8%","95.2%","3444","15","2465","1576","7566","10.5%","89.5%","6603","68","0.27","9.61","6.14","0.06","13.43","29.5","25.74","Food","None (possibly an informal 'cornflake desserts' theme -- see also reel DZeb5pNoXKH/#12, an 11-days-later cornflake cookie reel whose caption asks whether to start a dedicated cornflake series)","Dessert","Dessert","Talking to camera","Talking to camera (eating reaction shot, eyes closed)","Yes","Yes (clearly, face visible, eating on camera)","No","No (meir43214 only comments)","No","No","No CTA","Organic","reused_from_previous_dataset","High-performing Reel: 95.2% non-follower views, very strong saves (2,465) and shares (1,576) relative to likes. DATA CONFLICT: action-bar comment count 22 vs Insights תגובות 15."
"13","DYzfLC7ozN0","https://www.instagram.com/rotem_adini/reel/DYzfLC7ozN0/","2026-05-26","2026-05-26","ברוכים הבאים לפרק העשירי בסדרה שלי ""איך לשדרג עוגת ביסקוויטים ✨"" ולכבוד הפרק העשירי הכנתי עוגת ביסקוויטים טריפל שוקולד שיוצאת משוגע!! אם אהבתם הגיבו ""מתכון"" ואשלח לכם מתכון 😍","שאני לא היחידה (on-screen text, partial - 'that I'm not the only one')","Relatable statement","26.17","26.17","118823","2710","15.2%","84.8%","721","483","383","120","1721","39.4%","60.6%","1299","57","0.48","3.22","1.01","4.06","6.07","14.48","10.93","Food","Biscuit Cake series (episode 10 - triple chocolate)","Biscuit cake","Biscuit cake","Voice-over demo","Voice-over / hands-only demo (grating chocolate)","Yes","Yes (hands only)","No","No (meir43214 only comments)","No","No","Recipe keyword (comment 'מתכון' to receive recipe)","Organic","reused_from_previous_dataset","DATA CONFLICT: action-bar comment count 552 vs Insights תגובות 483."
"14","DYkByyoI4Fb","https://www.instagram.com/rotem_adini/reel/DYkByyoI4Fb/","2026-05-20","2026-05-20","ממשיכים בסדרת הדייטים שלנו לפי הא'-ב' והפעם האות ח' דייט חימר ✊🏻 מה אומרים למי יצא יותר יפה? 🤪❤️","ממשיכים בסדרת הדייטים שלנו (on-screen text + caption)","Series introduction","28.27","28.27","60074","4421","9.9%","90.1%","1070","27","266","393","1776","19.2%","80.8%","1593","170","2.83","4.43","6.54","0.45","17.81","29.56","26.52","Couple","A-Z Dates (letter Het / ח - Clay/pottery date)","Date","Date","Montage","Montage/Talking (Meir shown sculpting clay at a table; commenters note some viewers thought the material was 'clay/kinetic sand' vs 'חימר')","Unclear","Unclear (not visible in inspected frame; likely present off-camera or in another shot of a couple date)","Yes","Yes (clearly, sculpting clay at the table)","Unclear","Unclear (only Meir visible in inspected frame)","Comment (caption asks 'מה אומרים למי יצא יותר יפה?' - whose came out prettier?)","Organic","reused_from_previous_dataset","Strong Follows (170) relative to views for a Couple/date-series reel, consistent with baseline's finding that couple content converts to follows more efficiently than food content."
"15","DYWTlGGI3cG","https://www.instagram.com/rotem_adini/reel/DYWTlGGI3cG/","2026-05-15","2026-05-15","רולדת שמרים עוגת גבינה 🤍 [full dough + cheesecake filling recipe, sugar syrup glaze]","יש רגע בחיים (on-screen text, 'there's a moment in life...') - a nostalgic personal story about grandma's coffee-milk, per viewer comment reaction","Story opening","23.57","23.57","37167","3127","17.9%","82.1%","285","15","246","59","609","50.5%","49.5%","550","11","0.3","6.62","1.59","0.4","7.67","16.39","14.8","Food","None","Cake","Cake","Talking to camera","Talking to camera","Yes","Yes (clearly, talking to camera while mixing)","No","No","No","No","No CTA","Organic","reused_from_previous_dataset","DATA CONFLICT: action-bar comment count 20 vs Insights תגובות 15. A viewer comment referencing a shared childhood memory (grandma making coffee-milk) suggests this reel included a personal nostalgic story, supporting the 'Story opening' hook classification."
"16","DYPe_G9o1IH","https://www.instagram.com/rotem_adini/reel/DYPe_G9o1IH/","2026-05-12","2026-05-12","טבלת שוקולד קרם עוגיות!! הקינוח הכי ממכר שתכינו - מבחוץ שכבת שוקולד חלב קראנצ'ית ובפנים קרם אוראו מושלם 😍 אפשר לשמור גם במקרר וגם במקפיא. אם אהבתם תגיבו ""מתכון"" ואשלח לכם 🩷","אני פה הראשונות (on-screen text, partial/unclear wording)","Other","22.37","22.37","106959","3104","9.3%","90.7%","1505","296","305","221","2351","19.7%","80.3%","2011","66","0.62","2.85","2.07","2.77","14.07","21.98","18.8","Food","None","Dessert","Dessert","Talking to camera","Talking to camera (holding chocolate bar)","Yes","Yes (clearly, face visible, talking to camera)","No","No","No","No","Recipe keyword (comment 'מתכון' to receive recipe)","Organic","reused_from_previous_dataset","On-screen hook text partially illegible from the captured frame; marked hook_type 'Other' rather than guessing. DATA CONFLICT: action-bar comment count 318 vs Insights תגובות 296."
"17","DXt-xgniPIs","https://www.instagram.com/rotem_adini/reel/DXt-xgniPIs/","2026-04-29","2026-04-29","ממשיכים בסדרת הדייטים שלנו לפי הא'-ב' והפעם האות ז' דייט בזריחה 🌅 תייגו את הפרטנר שיזרום איתכם על דייט מושקע כזה 👇🏻🥰","ממשיכים בסדרת הדייטים שלנו (on-screen text + caption)","Series introduction","22.94","22.94","49933","3867","6.7%","93.3%","1167","22","214","393","1813","15.8%","84.2%","1621","121","2.42","4.29","7.87","0.44","23.37","36.31","32.46","Couple","A-Z Dates (letter Zayin / ז - Sunrise date)","Date","Date","Montage","Montage (picnic at sunrise, both seated eating together)","Yes","Yes","Yes","Yes","Yes","Yes","Comment (caption: 'תייגו את הפרטנר שיזרום איתכם' - tag your partner)","Organic","reused_from_previous_dataset","Another strong Couple/date-series performer for follows (121) relative to a comparatively modest view count (49,933) -- consistent with baseline's couple-conversion pattern."
"18","DXoyXt1ooZe","https://www.instagram.com/rotem_adini/reel/DXoyXt1ooZe/","2026-04-27","2026-04-27","ברוכים הבאים לסדרה החדשה שלי ""שלוק של קיץ ☀️"" והפעם - קפה קר קרמל [full caramel recipe + iced coffee assembly steps]","הקיץ כבר כאן (on-screen text, 'summer is already here')","Series introduction","20.07","20.07","62158","2639","9.2%","90.8%","1004","25","461","358","1866","17.9%","82.1%","1621","89","1.43","7.42","5.76","0.4","16.15","30.02","26.08","Food","שלוק של קיץ / 'Sip of Summer' series (episode 1 - salted caramel iced coffee)","Other","Other (cold beverage/drink recipe, not covered by the standard food subtypes)","Voice-over demo","Voice-over / hands-only demo","Yes","Yes (hands only)","No","No (meir43214 only comments)","No","No","No CTA","Organic","reused_from_previous_dataset","Action-bar comment count (25) matched Insights (25) exactly. New named series launch."
"19","DXgRw3JoY52","https://www.instagram.com/rotem_adini/reel/DXgRw3JoY52/","2026-04-24","2026-04-24","הפרק התשיעי בסדרה שלנו ""איך לשדרג עוגת ביסקוויטים"" והפעם- כדורי עוגת ביסקוויטים 😍 זה ממכר זה טעים וזה פשוט כמו גרעינים אהבתם? תגיבו ""מתכון"" וישר אשלח לכם אותו 💘","אי אפשר... (on-screen text, partial) / caption: זה ממכר זה טעים וזה פשוט כמו גרעינים","Relatable statement","25.2","25.2","213339","2406","8.3%","91.7%","1931","289","862","479","3593","18.2%","81.8%","3072","75","0.35","4.04","2.25","1.35","9.05","16.84","14.4","Food","Biscuit Cake series (episode 9 - cake balls/truffles)","Biscuit cake","Biscuit cake","Voice-over demo","Voice-over / hands-only demo","Yes","Yes (hands only)","No","No (meir43214 only comments)","No","No","Recipe keyword (comment 'מתכון' to receive recipe)","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task (not in previous dataset). DATA CONFLICT: action-bar comment count 349 vs Insights תגובות 289."
"20","DXUO5ikIc9J","https://www.instagram.com/rotem_adini/reel/DXUO5ikIc9J/","2026-04-19","2026-04-19","אנחנו ממשיכים בסדרת הדייטים שלנו והפעם האות ו' דייט משחקי וידאו 🎮 👾 תתייגו את הפרטנר שלכם לערב כזה 👇🏻💘","אנחנו ממשיכים (on-screen text + caption, series intro)","Series introduction","25.03","25.03","330519","3619","2%","98%","6134","176","909","3120","10446","4.7%","95.3%","9795","630","1.91","2.75","9.44","0.53","18.56","31.6","29.64","Couple","A-Z Dates (letter Vav / ו - Video game date)","Date","Date","Mixed / Other","Talking/Montage (in bed with a game controller and TV; both partners' hands visible)","Yes","Yes","Yes","Yes (inferred; partner's hands visible with controller)","Yes","Yes","Comment (caption: 'תתייגו את הפרטנר שלכם' - tag your partner)","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. Very high performer for follows (630) and 98% non-follower views -- one of the strongest Couple/date-series reels in the whole dataset so far. DATA CONFLICT: action-bar comment count 177 vs Insights תגובות 176 (minor)."
"21","DXOOpl-odb5","https://www.instagram.com/rotem_adini/reel/DXOOpl-odb5/","2026-04-17","2026-04-17","עוגת מוס שוקולד על בסיס ביסקוויטים ✨ [full chocolate mousse cake recipe: petit-beurre base, dark chocolate ganache mousse]","שהברכה לחיים של גבר (on-screen text, partial - ties to the theme of 'winning a man's heart', echoed in viewer comments)","Relatable statement","23.53","23.53","140993","2016","15.4%","84.6%","909","24","912","209","2068","32.2%","67.8%","1794","70","0.5","6.47","1.48","0.17","6.45","14.67","12.72","Food","None","Cake","Cake","Talking to camera","Talking to camera (holding plated slice)","Yes","Yes (clearly, face visible, talking to camera)","No","No","No","No","No CTA","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. Saves (912) exceed likes (909). DATA CONFLICT: action-bar comment count 41 vs Insights תגובות 24."
"22","DXEmU6ioT1W","https://www.instagram.com/rotem_adini/reel/DXEmU6ioT1W/","2026-04-13","2026-04-13","גדלתי בשנה 🥳🍾🎉","גדלתי בשנה (caption, personal birthday announcement)","Personal confession","11.12","11.12","18884","1648","22.6%","77.4%","109","33","8","5","158","65.7%","34.3%","122","3","0.16","0.42","0.26","1.75","5.77","8.37","6.46","Personal","None","Other","Other (birthday celebration post)","Talking to camera","Talking to camera (holding a birthday cake)","Yes","Yes (clearly, face visible)","No","No (meir43214 comments 'אוהב אותך המון' - only in comments, not confirmed in video)","No","No","No CTA","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. Personal/non-recipe content (birthday). Notably low saves (8) and shares (5) relative to likes (109) -- consistent with personal content being less 'savable' than recipes. DATA CONFLICT: action-bar comment count 46 vs Insights תגובות 33."
"23","DW8LWEPo2F8","https://www.instagram.com/rotem_adini/reel/DW8LWEPo2F8/","2026-04-10","2026-04-10","הגענו כבר לפרק השמיני בסדרה שלנו ""איך לשדרג עוגת ביסקוויטים"" והפעם עוגת ביסקוויטים אלפחורס ✨ [full dulce-de-leche/coconut cream layered biscuit cake recipe with white chocolate ganache]","ידעתם שהמקור של אלפחורס... (on-screen text, 'did you know the origin of alfajores...')","Curiosity","26.44","26.44","248882","2435","8%","92%","2368","31","2152","1249","5843","16.3%","83.7%","4902","232","0.93","8.65","5.02","0.12","9.51","23.48","19.7","Food","Biscuit Cake series (episode 8 - Alfajores)","Biscuit cake","Biscuit cake","Talking to camera","Talking to camera (eating, holding plated slice)","Yes","Yes (clearly, face visible)","No","No (meir43214 only comments)","No","No","No CTA","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. Strong performer: 232 follows, saves (2,152) nearly equal to likes (2,368), high non-follower reach (92%). The 'origin of alfajores' hook sparked an active debate thread in the comments about cultural origin. DATA CONFLICT: action-bar comment count 57 vs Insights תגובות 31."
"24","DW0xhW7CGGy","https://www.instagram.com/rotem_adini/reel/DW0xhW7CGGy/","2026-04-07","2026-04-07","בואו איתנו לטיול זוגי במדבר 🐫🏜️","של 30 שעות (on-screen text, partial - 'of 30 hours', teasing the trip's length)","Curiosity","42.9","42.9","29256","1789","9.7%","90.3%","368","26","46","78","519","20.1%","79.9%","476","3","0.1","1.57","2.67","0.89","12.58","17.74","16.27","Couple","None","Personal","Personal relationship moment (desert road trip, co-tagged with @meir43214)","Montage","Montage (car/desert scenery shots)","Unclear","Unclear (not visible in inspected frame -- car window/road view)","Unclear","Unclear (co-tagged as a post collaborator with @meir43214, but not confirmed visible in inspected frame)","Unclear","Unclear","No CTA","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. This post is co-authored with @meir43214 (his own account, not a brand) -- unlike the @israeli_kitchen collaborations, Insights WERE accessible here, confirming that Insights access depends on account ownership/co-authorship type, not just being 'tagged'. Action-bar comment count (26) matched Insights (26) exactly."
